	0	1	2	p_value
0	CHEMBL66004	9833	1	0.7639120677676564
1	CHEMBL66004	5290	1	0.7639120677676564
2	CHEMBL63728	9833	1	1.0
3	CHEMBL63728	5290	1	1.0
4	CHEMBL588025	4916	1	0.31755027708350936
5	CHEMBL588025	2263	1	0.31755027708350936
6	CHEMBL581096	2263	1	0.12292643054054597
7	CHEMBL520037	9833	1	1.0
8	CHEMBL513897	9833	1	0.4313183136950457
9	CHEMBL513897	11200	1	0.4313183136950457
10	CHEMBL511765	11200	1	0.5103226688891993
11	CHEMBL506153	9833	1	0.5103226688891993
12	CHEMBL495771	9833	1	1.0
13	CHEMBL495696	9833	1	0.0904753709218333
14	CHEMBL495696	4916	1	0.0904753709218333
15	CHEMBL477069	9833	1	0.08883219182886047
16	CHEMBL477069	11200	1	0.08883219182886047
17	CHEMBL476259	9833	1	0.0451347940397276
18	CHEMBL476259	11200	1	0.0451347940397276
19	CHEMBL468963	9833	1	0.0061409389953348825
20	CHEMBL458865	9833	1	0.1695976600698556
21	CHEMBL458865	11200	1	0.1695976600698556
22	CHEMBL450071	11200	1	0.7163211392886715
23	CHEMBL410072	9833	1	0.5751049423758533
24	CHEMBL410072	4916	1	0.5751049423758533
25	CHEMBL409892	9833	1	0.08737292839322547
26	CHEMBL409892	4916	1	0.08737292839322547
27	CHEMBL409892	2263	1	0.08737292839322547
28	CHEMBL405042	9833	1	1.0
29	CHEMBL405042	4916	1	1.0
30	CHEMBL396107	4916	1	0.5751049423758533
31	CHEMBL396107	2263	1	0.5751049423758533
32	CHEMBL373751	4916	1	0.17179690044736395
33	CHEMBL373751	11200	1	0.17179690044736395
34	CHEMBL372474	2263	1	0.5067391969951427
35	CHEMBL361894	9833	1	0.08511492283083061
36	CHEMBL359999	9833	1	0.12126592362069152
37	CHEMBL359999	4916	1	0.12126592362069152
38	CHEMBL275473	2263	1	1.0
39	CHEMBL273564	4916	1	0.2338738399476255
40	CHEMBL273564	2263	1	0.2338738399476255
41	CHEMBL272414	4916	1	0.5076145489081941
42	CHEMBL272165	9833	1	0.7687138404504203
43	CHEMBL272165	4916	1	0.7687138404504203
44	CHEMBL272028	9833	1	0.5835333309309075
45	CHEMBL272028	4916	1	0.5835333309309075
46	CHEMBL272026	9833	1	1.0
47	CHEMBL272026	4916	1	1.0
48	CHEMBL271595	9833	1	0.15511631648662222
49	CHEMBL271595	4916	1	0.15511631648662222
50	CHEMBL271595	2263	1	0.15511631648662222
51	CHEMBL270544	4916	1	0.258039299059733
52	CHEMBL270054	4916	1	0.9999999999999991
53	CHEMBL269883	9833	1	0.1695976600698556
54	CHEMBL269883	4916	1	0.1695976600698556
55	CHEMBL269827	4916	1	0.5147009603203078
56	CHEMBL261849	4916	1	0.3439
57	CHEMBL247228	4916	1	0.7687138404504203
58	CHEMBL247228	2263	1	0.7687138404504203
59	CHEMBL222419	4916	1	0.7639120677676564
60	CHEMBL222419	2263	1	0.7639120677676564
61	CHEMBL220465	9833	1	0.5103226688891993
62	CHEMBL1956068	9833	1	0.2082111088200856
63	CHEMBL1956068	4916	1	0.2082111088200856
64	CHEMBL1956068	11200	1	0.2082111088200856
65	CHEMBL191705	2263	1	0.9999999999999991
66	CHEMBL1909399	4916	1	1.0
67	CHEMBL1909396	4916	1	0.0877418981446581
68	CHEMBL1909396	2263	1	0.0877418981446581
69	CHEMBL1909384	9833	1	0.35726593161948395
70	CHEMBL1909375	207	1	0.5076145489081941
71	CHEMBL1909374	4916	1	0.7148201929357021
72	CHEMBL1909369	4916	1	0.3591898982264987
73	CHEMBL1909368	4916	1	0.3627661070521857
74	CHEMBL1909365	4916	1	0.9999999999999991
75	CHEMBL1909363	9833	1	0.35726593161948395
76	CHEMBL1909359	2263	1	0.12156780550975552
77	CHEMBL1909358	2263	1	0.3627661070521857
78	CHEMBL1909350	9833	1	0.15835998128661993
79	CHEMBL1909350	208	1	0.15835998128661993
80	CHEMBL1909350	207	1	0.15835998128661993
81	CHEMBL1909349	9833	1	0.36637880386864075
82	CHEMBL1909349	208	1	0.36637880386864075
83	CHEMBL1909349	207	1	0.36637880386864075
84	CHEMBL189353	4916	1	0.258039299059733
85	CHEMBL189231	9833	1	0.3591898982264987
86	CHEMBL188381	4916	1	0.23096919282819012
87	CHEMBL188381	2263	1	0.23096919282819012
88	CHEMBL188268	9833	1	0.35731618447862273
89	CHEMBL1882194	9833	1	0.25032335620309504
90	CHEMBL187081	9833	1	0.08511492283083061
91	CHEMBL185962	9833	1	0.5076145489081941
92	CHEMBL179465	4916	1	0.764755238954202
93	CHEMBL179465	2263	1	0.764755238954202
94	CHEMBL1794066	9833	1	1.0
95	CHEMBL1794066	208	1	1.0
96	CHEMBL1794066	207	1	1.0
97	CHEMBL1794065	208	1	1.0
98	CHEMBL1794065	207	1	1.0
99	CHEMBL1794058	4916	1	1.0
100	CHEMBL1794057	9833	1	1.0
101	CHEMBL1794057	4916	1	1.0
102	CHEMBL1794056	4916	1	1.0
103	CHEMBL1794055	9833	1	0.04646416868627663
104	CHEMBL1794055	4916	1	0.04646416868627663
105	CHEMBL1794055	2263	1	0.04646416868627663
106	CHEMBL1794052	5290	1	0.7191579278957851
107	CHEMBL1794050	5290	1	1.0
108	CHEMBL179311	4916	1	0.5751049423758533
109	CHEMBL179311	2263	1	0.5751049423758533
110	CHEMBL1789963	5290	1	0.764755238954202
111	CHEMBL1789963	4916	1	0.764755238954202
112	CHEMBL1789962	9833	1	1.0
113	CHEMBL1789961	9833	1	0.17999011998002834
114	CHEMBL176857	4916	1	1.0
115	CHEMBL175321	9833	1	1.0
116	CHEMBL175321	4916	1	1.0
