CHEMBL1075104	120892
CHEMBL1075133	131890
CHEMBL1075167	147746
CHEMBL1824	2064
CHEMBL1841	2534
CHEMBL1844	1436
CHEMBL1862	25
CHEMBL1868	2321
CHEMBL1906	5894
CHEMBL1913	5159
CHEMBL1936	3815
CHEMBL1955	2324
CHEMBL1957	3480
CHEMBL1974	2322
CHEMBL1981	3643
CHEMBL1991	3551
CHEMBL2007	5156
CHEMBL203	1956
CHEMBL2041	5979
CHEMBL2068	1969
CHEMBL2073	7525
CHEMBL2116	5563
CHEMBL2147	5292
CHEMBL2148	3718
CHEMBL2185	9212
CHEMBL2250	640
CHEMBL2292	1859
CHEMBL2343	6446
CHEMBL2345	6197
CHEMBL2349	5261
CHEMBL2426	53944
CHEMBL2431	208
CHEMBL2508	1021
CHEMBL2527	11200
CHEMBL2543	1455
CHEMBL2553	6195
CHEMBL2558	1612
CHEMBL258	3932
CHEMBL2595	23683
CHEMBL2598	5584
CHEMBL2599	6850
CHEMBL260	1432
CHEMBL262	2932
CHEMBL2634	1445
CHEMBL267	6714
CHEMBL2689	4486
CHEMBL2742	2261
CHEMBL279	3791
CHEMBL2793	1452
CHEMBL2801	817
CHEMBL2815	4914
CHEMBL2835	3716
CHEMBL2850	2931
CHEMBL2896	5593
CHEMBL2938	5582
CHEMBL2939	5603
CHEMBL2959	3702
CHEMBL2971	3717
CHEMBL2973	9475
CHEMBL299	5578
CHEMBL3009	2066
CHEMBL301	1017
CHEMBL3024	5347
CHEMBL3038471	1018
CHEMBL3045	5579
CHEMBL308	983
CHEMBL3094	8550
CHEMBL3125	8986
CHEMBL3130	5293
CHEMBL3231	6093
CHEMBL3234	3055
CHEMBL3268	5298
CHEMBL3290	2048
CHEMBL331	1019
CHEMBL3385	5595
CHEMBL3476	1147
CHEMBL3529	9641
CHEMBL3553	7297
CHEMBL3587	5604
CHEMBL3616	5583
CHEMBL3629	1457
CHEMBL3650	2260
CHEMBL3717	4233
CHEMBL3831	2011
CHEMBL3834	660
CHEMBL3835	4751
CHEMBL3863	5587
CHEMBL3905	4067
CHEMBL3906	6196
CHEMBL3920	5588
CHEMBL3935	6795
CHEMBL3961	5600
CHEMBL3973	2264
CHEMBL3981	6793
CHEMBL3982	2241
CHEMBL3983	7272
CHEMBL3988	2043
CHEMBL4004	5260
CHEMBL4005	5290
CHEMBL4014	27
CHEMBL4036	1020
CHEMBL4040	5594
CHEMBL4045	5562
CHEMBL4101	5566
CHEMBL4128	7010
CHEMBL4142	2263
CHEMBL4147	815
CHEMBL4179	5601
CHEMBL4204	2872
CHEMBL4223	2444
CHEMBL4225	1196
CHEMBL4226	1198
CHEMBL4237	9252
CHEMBL4246	7006
CHEMBL4247	238
CHEMBL4273	5592
CHEMBL4282	207
CHEMBL4311	106821730
CHEMBL4367	7294
CHEMBL4376	8445
CHEMBL4454	2268
CHEMBL4487	5062
CHEMBL4501	6198
CHEMBL4516	8476
CHEMBL4523	11040
CHEMBL4524	57144
CHEMBL4574	9024
CHEMBL4578	9833
CHEMBL4598	6789
CHEMBL4599	10188
CHEMBL4601	5753
CHEMBL4630	1111
CHEMBL4670	7867
CHEMBL4674	6300
CHEMBL4708	6788
CHEMBL4718	8569
CHEMBL4722	6790
CHEMBL4766	5163
CHEMBL4816	10000
CHEMBL4849	140609
CHEMBL4895	558
CHEMBL4898	4915
CHEMBL4900	25865
CHEMBL4901	2049
CHEMBL4924	27330
CHEMBL4954	2042
CHEMBL5052	9578
CHEMBL5073	57118
CHEMBL5084	1456
CHEMBL5122	4921
CHEMBL5145	673
CHEMBL5147	2050
CHEMBL5251	695
CHEMBL5257	91754
CHEMBL5314	7301
CHEMBL5330	5871
CHEMBL5331	10461
CHEMBL5334	8711
CHEMBL5407	415116
CHEMBL5408	29110
CHEMBL5415	26576
CHEMBL5427	204851
CHEMBL5455	2242
CHEMBL5469	2185
CHEMBL5483	3645
CHEMBL5518	50488
CHEMBL5543	9149
CHEMBL5568	6098
CHEMBL5600	4140
CHEMBL5608	4916
CHEMBL5627	4058
CHEMBL5650	84446
CHEMBL5684	4593
CHEMBL5699	23235
CHEMBL5703	6725
CHEMBL5754	57787
CHEMBL5784	9891
CHEMBL5794	10110
CHEMBL5818	5613
CHEMBL5855	4750
CHEMBL5940	4139
CHEMBL5941	51765
CHEMBL6003	83942
CHEMBL6014	23617
CHEMBL6054	23178
CHEMBL6082	102724428
CHEMBL6144	2870
CHEMBL6166	9448
CHEMBL6186	100533105
