Q5S007
Q8WTQ7
Q8NE63
P04626
P06241
P07333
P00519
P17948
P04049
P09619
P10721
P35916
P08069
P36888
P06213
P16234
P00533
P07949
P29317
P07947
P54646
P11309
P52333
Q96GD4
P51451
Q13627
O00141
P51812
P15735
Q9HCP0
P31751
Q00534
O96017
P78368
Q15418
P53355
P06239
O94806
P41743
P43405
Q16539
P49841
P41240
P12931
Q04912
P22607
P35968
P48729
Q13557
P04629
P23458
P49840
Q13237
P05129
Q08881
O60674
O75116
P17252
Q15303
P24941
P53350
Q00526
P05771
P06493
O75676
O00329
Q13464
P08631
Q9UBF8
P29323
P11802
P27361
O15111
Q14164
P29597
Q02750
P24723
P68400
P11362
P08581
Q7KZI7
P51813
P51955
Q15139
P07948
Q15349
Q04759
Q9UQB9
Q15759
O94804
P16591
P33981
P54764
Q16816
P42336
P42684
Q00535
P28482
Q13131
P17612
Q02763
P21802
Q9UQM7
P45984
Q9HBH9
P42685
P49760
P49761
O75582
P42680
Q9UM73
Q13976
P31749
Q9NQU5
P42681
Q92630
P09769
P23443
Q5VT25
Q9P1W9
Q9P286
Q8IWQ3
Q14680
Q13043
Q07912
Q13882
O14757
P53778
Q13188
Q9BUB5
O14965
Q15118
Q9Y243
P30530
Q16620
Q9BZL6
P54753
Q9UK32
P29320
Q9Y5S2
Q8IU85
Q9Y6M4
Q16832
P15056
P54760
Q06187
Q8TD19
Q06418
Q12851
Q12866
Q13470
Q86V86
Q9UHD2
Q9UPE1
Q86Z02
P07332
Q14289
P14616
Q8N4C8
Q9Y463
P08922
P27448
Q16288
P29376
Q8TDC3
O15146
Q9H0K1
Q9H3Y6
Q96L34
O60285
Q9HBY8
P51817
Q96PY6
Q9P0L2
Q9P289
Q9BXA7
Q96PF2
Q96RG2
P57059
P43250
O95819
Q96BR1
